Občina,OŠ ali manj,srednje poklicno izobraževanje,"strokovno, splošno izobraževanje","izobraževanje prve, druge, tretje stopnje",Skupaj,month,year,"OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
Šmarje pri Jelšah,,,,,421.0,JAN,2022,128.0,130,113,50
Šmarješke Toplice,,,,,60.0,JAN,2022,17.0,16,17,10
Šmartno ob Paki,,,,,106.0,JAN,2022,34.0,32,25,15
Šmartno pri Litiji,,,,,128.0,JAN,2022,29.0,45,36,18
Šoštanj,,,,,257.0,JAN,2022,91.0,66,56,44
Štore,,,,,132.0,JAN,2022,34.0,43,35,20
Tabor,,,,,47.0,JAN,2022,9.0,16,10,12
Tišina,,,,,185.0,JAN,2022,86.0,45,38,16
Tolmin,,,,,214.0,JAN,2022,59.0,62,56,37
Trbovlje,,,,,795.0,JAN,2022,298.0,214,185,98
Trebnje,,,,,314.0,JAN,2022,169.0,59,45,41
Trnovska vas,,,,,38.0,JAN,2022,3.0,15,12,8
Trzin,,,,,88.0,JAN,2022,30.0,17,23,18
Tržič,,,,,292.0,JAN,2022,96.0,69,82,45
Turnišče,,,,,132.0,JAN,2022,46.0,49,25,12
Velenje,,,,,1206.0,JAN,2022,424.0,305,309,168
Velika Polana,,,,,47.0,JAN,2022,10.0,22,9,6
Velike Lašče,,,,,100.0,JAN,2022,31.0,27,27,15
Veržej,,,,,34.0,JAN,2022,9.0,7,9,9
Videm,,,,,180.0,JAN,2022,55.0,61,46,18
Vipava,,,,,112.0,JAN,2022,26.0,23,35,28
Vitanje,,,,,72.0,JAN,2022,26.0,23,11,12
Vodice,,,,,118.0,JAN,2022,28.0,31,35,24
Vojnik,,,,,232.0,JAN,2022,52.0,57,74,49
Vransko,,,,,59.0,JAN,2022,12.0,17,19,11
Vrhnika,,,,,521.0,JAN,2022,164.0,124,147,86
Vuzenica,,,,,84.0,JAN,2022,19.0,29,24,12
Zagorje ob Savi,,,,,494.0,JAN,2022,140.0,132,148,74
Zavrč,,,,,61.0,JAN,2022,19.0,25,15,2
Zreče,,,,,253.0,JAN,2022,80.0,72,75,26
Žalec,,,,,870.0,JAN,2022,273.0,228,234,135
Železniki,,,,,66.0,JAN,2022,18.0,19,13,16
Žetale,,,,,31.0,JAN,2022,9.0,8,8,6
Žiri,,,,,86.0,JAN,2022,9.0,24,26,27
Žirovnica,,,,,67.0,JAN,2022,13.0,17,19,18
Žužemberk,,,,,102.0,JAN,2022,33.0,36,22,11
Občina izven RS,,,,,700.0,JAN,2022,585.0,42,26,47
Ajdovščina,,,,,448.0,FEB,2022,138.0,122,112,76
Ankaran,,,,,96.0,FEB,2022,28.0,24,27,17
Apače,,,,,105.0,FEB,2022,44.0,32,18,11
Beltinci,,,,,288.0,FEB,2022,112.0,74,67,35
Benedikt,,,,,53.0,FEB,2022,21.0,11,16,5
Bistrica ob Sotli,,,,,53.0,FEB,2022,20.0,12,12,9
Bled,,,,,173.0,FEB,2022,25.0,36,67,45
Bloke,,,,,32.0,FEB,2022,4.0,10,11,7
Bohinj,,,,,84.0,FEB,2022,25.0,26,20,13
Borovnica,,,,,115.0,FEB,2022,35.0,36,21,23
Bovec,,,,,68.0,FEB,2022,18.0,20,17,13
Braslovče,,,,,139.0,FEB,2022,31.0,30,52,26
Brda,,,,,95.0,FEB,2022,27.0,15,29,24
Brezovica,,,,,299.0,FEB,2022,62.0,68,115,54
Brežice,,,,,945.0,FEB,2022,271.0,319,236,119
Cankova,,,,,79.0,FEB,2022,38.0,16,22,3
Celje,,,,,1853.0,FEB,2022,548.0,449,504,352
Cerklje na Gorenjskem,,,,,140.0,FEB,2022,44.0,25,47,24
Cerknica,,,,,243.0,FEB,2022,62.0,71,69,41
Cerkno,,,,,55.0,FEB,2022,19.0,10,14,12
Cerkvenjak,,,,,51.0,FEB,2022,19.0,19,6,7
Cirkulane,,,,,77.0,FEB,2022,19.0,34,14,10
Črenšovci,,,,,206.0,FEB,2022,108.0,52,30,16
Črna na Koroškem,,,,,68.0,FEB,2022,21.0,23,16,8
Črnomelj,,,,,649.0,FEB,2022,343.0,162,96,48
Destrnik,,,,,70.0,FEB,2022,22.0,18,24,6
Divača,,,,,118.0,FEB,2022,31.0,32,35,20
Dobje,,,,,21.0,FEB,2022,6.0,9,4,2
Dobrepolje,,,,,77.0,FEB,2022,25.0,22,18,12
Dobrna,,,,,47.0,FEB,2022,9.0,12,14,12
Dobrova - Polhov Gradec,,,,,133.0,FEB,2022,28.0,38,43,24
Dobrovnik,,,,,62.0,FEB,2022,25.0,19,13,5
Dol pri Ljubljani,,,,,167.0,FEB,2022,41.0,46,38,42
Dolenjske Toplice,,,,,81.0,FEB,2022,17.0,28,18,18
Domžale,,,,,999.0,FEB,2022,306.0,236,265,192
Dornava,,,,,62.0,FEB,2022,15.0,24,8,15
Dravograd,,,,,232.0,FEB,2022,50.0,80,72,30
Duplek,,,,,244.0,FEB,2022,71.0,76,59,38
Gorenja vas - Poljane,,,,,97.0,FEB,2022,22.0,37,29,9
Gorišnica,,,,,91.0,FEB,2022,12.0,33,36,10
Gorje,,,,,69.0,FEB,2022,12.0,20,18,19
Gornja Radgona,,,,,264.0,FEB,2022,69.0,92,59,44
Gornji Grad,,,,,57.0,FEB,2022,7.0,20,21,9
Gornji Petrovci,,,,,74.0,FEB,2022,26.0,26,16,6
Grad,,,,,69.0,FEB,2022,30.0,24,10,5
Grosuplje,,,,,553.0,FEB,2022,220.0,124,125,84
Hajdina,,,,,100.0,FEB,2022,15.0,31,38,16
Hoče - Slivnica,,,,,429.0,FEB,2022,110.0,121,121,77
Hodoš,,,,,13.0,FEB,2022,7.0,4,0,2
Horjul,,,,,51.0,FEB,2022,3.0,15,20,13
Hrastnik,,,,,395.0,FEB,2022,140.0,120,88,47
Hrpelje - Kozina,,,,,116.0,FEB,2022,29.0,37,31,19
Idrija,,,,,187.0,FEB,2022,71.0,39,40,37
Ig,,,,,183.0,FEB,2022,50.0,54,56,23
Ilirska Bistrica,,,,,274.0,FEB,2022,76.0,89,70,39
Ivančna Gorica,,,,,326.0,FEB,2022,94.0,92,93,47
Izola,,,,,491.0,FEB,2022,162.0,123,137,69
Jesenice,,,,,498.0,FEB,2022,197.0,146,109,46
Jezersko,,,,,6.0,FEB,2022,2.0,0,3,1
Juršinci,,,,,55.0,FEB,2022,16.0,22,13,4
Kamnik,,,,,761.0,FEB,2022,240.0,210,200,111
Kanal,,,,,102.0,FEB,2022,39.0,31,16,16
Kidričevo,,,,,171.0,FEB,2022,36.0,51,56,28
Kobarid,,,,,64.0,FEB,2022,16.0,18,14,16
Kobilje,,,,,15.0,FEB,2022,4.0,7,3,1
Kočevje,,,,,813.0,FEB,2022,378.0,227,147,61
Komen,,,,,81.0,FEB,2022,25.0,12,28,16
Komenda,,,,,114.0,FEB,2022,32.0,28,34,20
Koper,,,,,1726.0,FEB,2022,579.0,405,458,284
Kostanjevica na Krki,,,,,73.0,FEB,2022,24.0,21,20,8
Kostel,,,,,27.0,FEB,2022,8.0,11,6,2
Kozje,,,,,143.0,FEB,2022,47.0,46,34,16
Kranj,,,,,1410.0,FEB,2022,516.0,280,344,270
Kranjska Gora,,,,,94.0,FEB,2022,17.0,25,33,19
Križevci,,,,,87.0,FEB,2022,20.0,27,25,15
Krško,,,,,1168.0,FEB,2022,541.0,314,214,99
Kungota,,,,,174.0,FEB,2022,52.0,47,47,28
Kuzma,,,,,57.0,FEB,2022,32.0,11,8,6
Laško,,,,,420.0,FEB,2022,135.0,127,98,60
Lenart,,,,,152.0,FEB,2022,41.0,50,37,24
Lendava,,,,,583.0,FEB,2022,218.0,152,135,78
Litija,,,,,397.0,FEB,2022,147.0,106,87,57
Ljubljana,,,,,10185.0,FEB,2022,3215.0,1995,2828,2147
Ljubno,,,,,61.0,FEB,2022,12.0,14,24,11
Ljutomer,,,,,348.0,FEB,2022,102.0,106,87,53
Log - Dragomer,,,,,91.0,FEB,2022,24.0,22,28,17
Logatec,,,,,276.0,FEB,2022,60.0,70,87,59
Loška dolina,,,,,68.0,FEB,2022,24.0,12,20,12
Loški Potok,,,,,32.0,FEB,2022,12.0,9,7,4
Lovrenc na Pohorju,,,,,89.0,FEB,2022,21.0,31,21,16
Luče,,,,,44.0,FEB,2022,17.0,12,9,6
Lukovica,,,,,152.0,FEB,2022,41.0,47,44,20
Majšperk,,,,,107.0,FEB,2022,28.0,30,30,19
Makole,,,,,65.0,FEB,2022,23.0,21,11,10
Maribor,,,,,4951.0,FEB,2022,1528.0,1201,1298,924
Markovci,,,,,95.0,FEB,2022,22.0,39,26,8
Medvode,,,,,426.0,FEB,2022,105.0,100,126,95
Mengeš,,,,,229.0,FEB,2022,66.0,53,74,36
Metlika,,,,,358.0,FEB,2022,178.0,86,65,29
Mežica,,,,,81.0,FEB,2022,21.0,24,22,14
Miklavž na Dravskem polju,,,,,206.0,FEB,2022,58.0,66,59,23
Miren - Kostanjevica,,,,,81.0,FEB,2022,24.0,15,23,19
Mirna,,,,,45.0,FEB,2022,14.0,8,13,10
Mirna Peč,,,,,62.0,FEB,2022,23.0,19,18,2
Mislinja,,,,,135.0,FEB,2022,31.0,55,32,17
Mokronog - Trebelno,,,,,52.0,FEB,2022,19.0,14,14,5
Moravče,,,,,107.0,FEB,2022,24.0,30,31,22
Moravske Toplice,,,,,203.0,FEB,2022,52.0,58,57,36
Mozirje,,,,,108.0,FEB,2022,33.0,26,28,21
Murska Sobota,,,,,805.0,FEB,2022,273.0,209,203,120
Muta,,,,,83.0,FEB,2022,25.0,32,19,7
Naklo,,,,,124.0,FEB,2022,33.0,26,44,21
Nazarje,,,,,67.0,FEB,2022,16.0,16,23,12
Nova Gorica,,,,,764.0,FEB,2022,244.0,153,200,167
Novo mesto,,,,,1095.0,FEB,2022,543.0,168,217,167
Odranci,,,,,52.0,FEB,2022,20.0,14,12,6
Oplotnica,,,,,95.0,FEB,2022,29.0,31,20,15
Ormož,,,,,449.0,FEB,2022,96.0,183,131,39
Osilnica,,,,,9.0,FEB,2022,3.0,3,2,1
Pesnica,,,,,222.0,FEB,2022,67.0,57,72,26
Piran,,,,,703.0,FEB,2022,184.0,177,218,124
Pivka,,,,,146.0,FEB,2022,50.0,40,33,23
Podčetrtek,,,,,118.0,FEB,2022,47.0,32,27,12
Podlehnik,,,,,62.0,FEB,2022,25.0,12,15,10
Podvelka,,,,,74.0,FEB,2022,16.0,25,25,8
Poljčane,,,,,109.0,FEB,2022,24.0,36,31,18
Polzela,,,,,190.0,FEB,2022,49.0,39,71,31
Postojna,,,,,430.0,FEB,2022,177.0,100,93,60
Prebold,,,,,160.0,FEB,2022,48.0,43,38,31
Preddvor,,,,,68.0,FEB,2022,14.0,16,21,17
Prevalje,,,,,161.0,FEB,2022,40.0,54,44,23
Ptuj,,,,,800.0,FEB,2022,187.0,203,264,146
Puconci,,,,,220.0,FEB,2022,106.0,49,32,33
Rače - Fram,,,,,247.0,FEB,2022,58.0,80,68,41
Radeče,,,,,134.0,FEB,2022,46.0,31,42,15
Radenci,,,,,156.0,FEB,2022,28.0,55,51,22
Radlje ob Dravi,,,,,219.0,FEB,2022,57.0,72,64,26
Radovljica,,,,,387.0,FEB,2022,102.0,87,126,72
Ravne na Koroškem,,,,,360.0,FEB,2022,68.0,120,109,63
Razkrižje,,,,,36.0,FEB,2022,10.0,14,5,7
Rečica ob Savinji,,,,,45.0,FEB,2022,12.0,10,15,8
Renče - Vogrsko,,,,,91.0,FEB,2022,34.0,21,18,18
Ribnica,,,,,208.0,FEB,2022,85.0,55,48,20
Ribnica na Pohorju,,,,,52.0,FEB,2022,15.0,22,12,3
Rogaška Slatina,,,,,523.0,FEB,2022,149.0,169,129,76
Rogašovci,,,,,170.0,FEB,2022,100.0,44,16,10
Rogatec,,,,,167.0,FEB,2022,59.0,51,42,15
Ruše,,,,,245.0,FEB,2022,60.0,82,61,42
Selnica ob Dravi,,,,,118.0,FEB,2022,30.0,37,36,15
Semič,,,,,132.0,FEB,2022,62.0,39,24,7
Sevnica,,,,,544.0,FEB,2022,152.0,184,126,82
Sežana,,,,,327.0,FEB,2022,99.0,77,90,61
Slovenj Gradec,,,,,515.0,FEB,2022,146.0,162,118,89
Slovenska Bistrica,,,,,758.0,FEB,2022,238.0,178,213,129
Slovenske Konjice,,,,,601.0,FEB,2022,184.0,189,147,81
Sodražica,,,,,40.0,FEB,2022,12.0,11,13,4
Solčava,,,,,8.0,FEB,2022,1.0,4,1,2
Središče ob Dravi,,,,,94.0,FEB,2022,29.0,24,30,11
Starše,,,,,140.0,FEB,2022,34.0,42,40,24
Straža,,,,,85.0,FEB,2022,37.0,23,16,9
Sveta Ana,,,,,53.0,FEB,2022,17.0,21,10,5
Sveta Trojica v Slovenskih goricah,,,,,36.0,FEB,2022,8.0,9,11,8
Sveti Andraž v Slovenskih goricah,,,,,27.0,FEB,2022,8.0,7,6,6
Sveti Jurij ob Ščavnici,,,,,91.0,FEB,2022,26.0,28,20,17
Sveti Jurij v Slovenskih goricah,,,,,34.0,FEB,2022,11.0,14,7,2
Sveti Tomaž,,,,,78.0,FEB,2022,21.0,32,18,7
Šalovci,,,,,50.0,FEB,2022,23.0,13,9,5
Šempeter - Vrtojba,,,,,135.0,FEB,2022,43.0,24,33,35
Šenčur,,,,,169.0,FEB,2022,52.0,39,53,25
Šentilj,,,,,286.0,FEB,2022,80.0,85,74,47
Šentjernej,,,,,195.0,FEB,2022,118.0,40,23,14
Šentjur,,,,,650.0,FEB,2022,164.0,200,172,114
Šentrupert,,,,,38.0,FEB,2022,11.0,9,15,3
Škocjan,,,,,149.0,FEB,2022,98.0,25,16,10
Škofja Loka,,,,,367.0,FEB,2022,95.0,89,100,83
Škofljica,,,,,291.0,FEB,2022,80.0,70,75,66
Šmarje pri Jelšah,,,,,409.0,FEB,2022,128.0,123,110,48
Šmarješke Toplice,,,,,57.0,FEB,2022,15.0,17,15,10
Šmartno ob Paki,,,,,99.0,FEB,2022,32.0,31,23,13
Šmartno pri Litiji,,,,,118.0,FEB,2022,31.0,37,34,16
Šoštanj,,,,,248.0,FEB,2022,85.0,67,53,43
Štore,,,,,118.0,FEB,2022,30.0,38,32,18
Tabor,,,,,48.0,FEB,2022,10.0,16,10,12
Tišina,,,,,174.0,FEB,2022,76.0,45,38,15
Tolmin,,,,,208.0,FEB,2022,60.0,56,52,40
Trbovlje,,,,,777.0,FEB,2022,292.0,211,175,99
Trebnje,,,,,299.0,FEB,2022,159.0,56,48,36
Trnovska vas,,,,,32.0,FEB,2022,3.0,12,9,8
Trzin,,,,,85.0,FEB,2022,31.0,17,20,17
Tržič,,,,,287.0,FEB,2022,88.0,71,83,45
Turnišče,,,,,123.0,FEB,2022,42.0,47,22,12
Velenje,,,,,1167.0,FEB,2022,399.0,299,298,171
Velika Polana,,,,,41.0,FEB,2022,8.0,19,9,5
Velike Lašče,,,,,96.0,FEB,2022,32.0,27,25,12
Veržej,,,,,29.0,FEB,2022,8.0,6,6,9
Videm,,,,,172.0,FEB,2022,54.0,56,44,18
Vipava,,,,,105.0,FEB,2022,25.0,21,32,27
Vitanje,,,,,64.0,FEB,2022,23.0,22,9,10
Vodice,,,,,114.0,FEB,2022,29.0,28,32,25
Vojnik,,,,,223.0,FEB,2022,51.0,56,67,49
Vransko,,,,,58.0,FEB,2022,12.0,15,17,14
Vrhnika,,,,,512.0,FEB,2022,169.0,123,135,85
Vuzenica,,,,,79.0,FEB,2022,19.0,27,22,11
Zagorje ob Savi,,,,,468.0,FEB,2022,136.0,123,145,64
Zavrč,,,,,60.0,FEB,2022,18.0,24,15,3
Zreče,,,,,246.0,FEB,2022,76.0,73,72,25
Žalec,,,,,804.0,FEB,2022,241.0,214,215,134
Železniki,,,,,64.0,FEB,2022,17.0,19,13,15
Žetale,,,,,26.0,FEB,2022,8.0,6,6,6
Žiri,,,,,87.0,FEB,2022,12.0,25,24,26
Žirovnica,,,,,65.0,FEB,2022,13.0,16,20,16
Žužemberk,,,,,97.0,FEB,2022,34.0,34,18,11
Občina izven RS,,,,,653.0,FEB,2022,544.0,40,24,45
Ajdovščina,,,,,441.0,MAR,2022,137.0,118,109,77
Ankaran,,,,,88.0,MAR,2022,24.0,20,29,15
Apače,,,,,101.0,MAR,2022,45.0,30,15,11
Beltinci,,,,,247.0,MAR,2022,92.0,60,63,32
Benedikt,,,,,49.0,MAR,2022,18.0,10,17,4
Bistrica ob Sotli,,,,,52.0,MAR,2022,18.0,12,11,11
Bled,,,,,162.0,MAR,2022,22.0,30,64,46
Bloke,,,,,25.0,MAR,2022,3.0,9,8,5
Bohinj,,,,,82.0,MAR,2022,23.0,27,18,14
Borovnica,,,,,112.0,MAR,2022,32.0,36,21,23
Bovec,,,,,62.0,MAR,2022,17.0,19,17,9
Braslovče,,,,,139.0,MAR,2022,29.0,32,52,26
Brda,,,,,93.0,MAR,2022,29.0,15,27,22
Brezovica,,,,,277.0,MAR,2022,56.0,68,105,48
Brežice,,,,,925.0,MAR,2022,262.0,297,250,116
Cankova,,,,,72.0,MAR,2022,36.0,13,19,4
Celje,,,,,1710.0,MAR,2022,483.0,428,464,335
Cerklje na Gorenjskem,,,,,125.0,MAR,2022,33.0,24,43,25
Cerknica,,,,,230.0,MAR,2022,52.0,64,68,46
Cerkno,,,,,56.0,MAR,2022,18.0,10,14,14
Cerkvenjak,,,,,38.0,MAR,2022,14.0,17,4,3
Cirkulane,,,,,63.0,MAR,2022,15.0,26,13,9
Črenšovci,,,,,185.0,MAR,2022,100.0,47,23,15
Črna na Koroškem,,,,,59.0,MAR,2022,19.0,16,15,9
Črnomelj,,,,,621.0,MAR,2022,331.0,151,97,42
Destrnik,,,,,61.0,MAR,2022,16.0,15,23,7
Divača,,,,,102.0,MAR,2022,25.0,27,31,19
Dobje,,,,,19.0,MAR,2022,5.0,9,3,2
Dobrepolje,,,,,72.0,MAR,2022,25.0,21,16,10
Dobrna,,,,,48.0,MAR,2022,10.0,13,14,11
Dobrova - Polhov Gradec,,,,,125.0,MAR,2022,28.0,40,36,21
Dobrovnik,,,,,60.0,MAR,2022,25.0,18,12,5
Dol pri Ljubljani,,,,,153.0,MAR,2022,35.0,46,33,39
Dolenjske Toplice,,,,,79.0,MAR,2022,19.0,24,18,18
Domžale,,,,,953.0,MAR,2022,280.0,231,252,190
Dornava,,,,,55.0,MAR,2022,14.0,21,9,11
Dravograd,,,,,209.0,MAR,2022,41.0,71,65,32
Duplek,,,,,212.0,MAR,2022,60.0,67,52,33
Gorenja vas - Poljane,,,,,87.0,MAR,2022,19.0,34,26,8
Gorišnica,,,,,87.0,MAR,2022,9.0,31,36,11
Gorje,,,,,63.0,MAR,2022,10.0,21,17,15
Gornja Radgona,,,,,235.0,MAR,2022,58.0,80,56,41
Gornji Grad,,,,,57.0,MAR,2022,9.0,21,18,9
Gornji Petrovci,,,,,66.0,MAR,2022,23.0,23,15,5
Grad,,,,,56.0,MAR,2022,21.0,20,11,4
Grosuplje,,,,,514.0,MAR,2022,194.0,118,122,80
Hajdina,,,,,90.0,MAR,2022,15.0,25,33,17
Hoče - Slivnica,,,,,404.0,MAR,2022,106.0,110,116,72
Hodoš,,,,,12.0,MAR,2022,6.0,4,0,2
Horjul,,,,,48.0,MAR,2022,3.0,15,18,12
Hrastnik,,,,,376.0,MAR,2022,128.0,115,87,46
Hrpelje - Kozina,,,,,106.0,MAR,2022,25.0,35,28,18
Idrija,,,,,171.0,MAR,2022,64.0,36,37,34
Ig,,,,,166.0,MAR,2022,42.0,50,49,25
Ilirska Bistrica,,,,,256.0,MAR,2022,72.0,83,68,33
Ivančna Gorica,,,,,313.0,MAR,2022,86.0,83,93,51
Izola,,,,,458.0,MAR,2022,151.0,111,131,65
Jesenice,,,,,447.0,MAR,2022,173.0,119,110,45
Jezersko,,,,,4.0,MAR,2022,1.0,0,2,1
Juršinci,,,,,50.0,MAR,2022,14.0,20,13,3
Kamnik,,,,,721.0,MAR,2022,221.0,204,197,99
Kanal,,,,,99.0,MAR,2022,38.0,29,17,15
Kidričevo,,,,,158.0,MAR,2022,29.0,51,55,23
Kobarid,,,,,63.0,MAR,2022,17.0,20,11,15
Kobilje,,,,,16.0,MAR,2022,4.0,8,3,1
Kočevje,,,,,743.0,MAR,2022,350.0,204,133,56
Komen,,,,,77.0,MAR,2022,24.0,11,27,15
Komenda,,,,,110.0,MAR,2022,33.0,29,29,19
Koper,,,,,1648.0,MAR,2022,547.0,393,448,260
Kostanjevica na Krki,,,,,78.0,MAR,2022,27.0,23,20,8
Kostel,,,,,24.0,MAR,2022,8.0,9,6,1
Kozje,,,,,131.0,MAR,2022,45.0,44,29,13
Kranj,,,,,1297.0,MAR,2022,452.0,262,328,255
Kranjska Gora,,,,,81.0,MAR,2022,14.0,21,30,16
Križevci,,,,,79.0,MAR,2022,18.0,23,23,15
Krško,,,,,1129.0,MAR,2022,515.0,307,206,101
Kungota,,,,,159.0,MAR,2022,46.0,46,43,24
Kuzma,,,,,51.0,MAR,2022,27.0,11,8,5
Laško,,,,,397.0,MAR,2022,129.0,120,96,52
Lenart,,,,,139.0,MAR,2022,33.0,42,40,24
Lendava,,,,,545.0,MAR,2022,203.0,137,134,71
Litija,,,,,390.0,MAR,2022,141.0,103,88,58
Ljubljana,,,,,9652.0,MAR,2022,3004.0,1904,2694,2050
Ljubno,,,,,56.0,MAR,2022,12.0,14,22,8
Ljutomer,,,,,315.0,MAR,2022,96.0,89,79,51
Log - Dragomer,,,,,84.0,MAR,2022,23.0,20,25,16
Logatec,,,,,276.0,MAR,2022,60.0,74,87,55
Loška dolina,,,,,64.0,MAR,2022,23.0,13,18,10
Loški Potok,,,,,33.0,MAR,2022,11.0,9,8,5
Lovrenc na Pohorju,,,,,84.0,MAR,2022,22.0,24,23,15
Luče,,,,,40.0,MAR,2022,14.0,13,8,5
Lukovica,,,,,139.0,MAR,2022,38.0,46,37,18
Majšperk,,,,,104.0,MAR,2022,30.0,27,28,19
Makole,,,,,58.0,MAR,2022,21.0,15,12,10
Maribor,,,,,4691.0,MAR,2022,1383.0,1159,1267,882
Markovci,,,,,92.0,MAR,2022,22.0,37,25,8
Medvode,,,,,411.0,MAR,2022,98.0,100,122,91
Mengeš,,,,,212.0,MAR,2022,58.0,52,73,29
Metlika,,,,,340.0,MAR,2022,169.0,77,63,31
Mežica,,,,,77.0,MAR,2022,18.0,22,21,16
Miklavž na Dravskem polju,,,,,195.0,MAR,2022,54.0,60,59,22
Miren - Kostanjevica,,,,,83.0,MAR,2022,26.0,15,23,19
Mirna,,,,,40.0,MAR,2022,12.0,7,11,10
Mirna Peč,,,,,62.0,MAR,2022,23.0,22,15,2
Mislinja,,,,,138.0,MAR,2022,33.0,53,32,20
Mokronog - Trebelno,,,,,54.0,MAR,2022,21.0,13,12,8
Moravče,,,,,101.0,MAR,2022,20.0,32,30,19
Moravske Toplice,,,,,187.0,MAR,2022,49.0,53,49,36
Mozirje,,,,,105.0,MAR,2022,30.0,24,28,23
Murska Sobota,,,,,751.0,MAR,2022,254.0,190,190,117
Muta,,,,,80.0,MAR,2022,24.0,30,18,8
Naklo,,,,,109.0,MAR,2022,27.0,21,42,19
Nazarje,,,,,63.0,MAR,2022,16.0,17,21,9
Nova Gorica,,,,,724.0,MAR,2022,224.0,152,184,164
Novo mesto,,,,,1038.0,MAR,2022,506.0,166,210,156
Odranci,,,,,43.0,MAR,2022,17.0,10,12,4
Oplotnica,,,,,87.0,MAR,2022,26.0,28,19,14
Ormož,,,,,380.0,MAR,2022,82.0,153,108,37
Osilnica,,,,,7.0,MAR,2022,3.0,3,1,0
Pesnica,,,,,195.0,MAR,2022,61.0,43,69,22
Piran,,,,,667.0,MAR,2022,173.0,164,204,126
Pivka,,,,,139.0,MAR,2022,48.0,39,32,20
Podčetrtek,,,,,114.0,MAR,2022,42.0,32,29,11
Podlehnik,,,,,64.0,MAR,2022,25.0,15,14,10
Podvelka,,,,,65.0,MAR,2022,16.0,21,22,6
Poljčane,,,,,105.0,MAR,2022,24.0,35,30,16
Polzela,,,,,169.0,MAR,2022,42.0,35,61,31
Postojna,,,,,400.0,MAR,2022,169.0,90,87,54
Prebold,,,,,161.0,MAR,2022,47.0,41,41,32
Preddvor,,,,,65.0,MAR,2022,14.0,13,19,19
Prevalje,,,,,153.0,MAR,2022,33.0,52,42,26
Ptuj,,,,,749.0,MAR,2022,172.0,184,256,137
Puconci,,,,,196.0,MAR,2022,93.0,43,30,30
Rače - Fram,,,,,237.0,MAR,2022,59.0,72,66,40
Radeče,,,,,121.0,MAR,2022,39.0,29,40,13
Radenci,,,,,133.0,MAR,2022,22.0,46,50,15
Radlje ob Dravi,,,,,192.0,MAR,2022,45.0,67,57,23
Radovljica,,,,,366.0,MAR,2022,96.0,79,122,69
Ravne na Koroškem,,,,,321.0,MAR,2022,62.0,102,95,62
Razkrižje,,,,,29.0,MAR,2022,8.0,13,3,5
Rečica ob Savinji,,,,,49.0,MAR,2022,13.0,13,17,6
Renče - Vogrsko,,,,,84.0,MAR,2022,30.0,18,18,18
Ribnica,,,,,192.0,MAR,2022,79.0,50,44,19
Ribnica na Pohorju,,,,,48.0,MAR,2022,12.0,21,12,3
Rogaška Slatina,,,,,498.0,MAR,2022,137.0,168,122,71
Rogašovci,,,,,146.0,MAR,2022,91.0,36,10,9
Rogatec,,,,,147.0,MAR,2022,52.0,45,37,13
Ruše,,,,,234.0,MAR,2022,65.0,78,51,40
Selnica ob Dravi,,,,,99.0,MAR,2022,18.0,36,32,13
Semič,,,,,120.0,MAR,2022,56.0,34,22,8
Sevnica,,,,,497.0,MAR,2022,136.0,169,120,72
Sežana,,,,,318.0,MAR,2022,92.0,77,85,64
Slovenj Gradec,,,,,480.0,MAR,2022,133.0,152,114,81
Slovenska Bistrica,,,,,675.0,MAR,2022,207.0,157,190,121
Slovenske Konjice,,,,,564.0,MAR,2022,167.0,178,141,78
Sodražica,,,,,36.0,MAR,2022,11.0,8,13,4
Solčava,,,,,7.0,MAR,2022,1.0,3,2,1
Središče ob Dravi,,,,,84.0,MAR,2022,27.0,23,25,9
Starše,,,,,133.0,MAR,2022,34.0,38,36,25
Straža,,,,,70.0,MAR,2022,28.0,19,14,9
Sveta Ana,,,,,44.0,MAR,2022,15.0,16,8,5
Sveta Trojica v Slovenskih goricah,,,,,33.0,MAR,2022,6.0,9,12,6
Sveti Andraž v Slovenskih goricah,,,,,22.0,MAR,2022,6.0,6,6,4
Sveti Jurij ob Ščavnici,,,,,83.0,MAR,2022,28.0,23,17,15
Sveti Jurij v Slovenskih goricah,,,,,29.0,MAR,2022,7.0,12,6,4
Sveti Tomaž,,,,,68.0,MAR,2022,20.0,27,15,6
Šalovci,,,,,42.0,MAR,2022,20.0,12,8,2
Šempeter - Vrtojba,,,,,121.0,MAR,2022,40.0,22,27,32
Šenčur,,,,,149.0,MAR,2022,40.0,33,49,27
Šentilj,,,,,275.0,MAR,2022,76.0,86,69,44
Šentjernej,,,,,185.0,MAR,2022,113.0,37,18,17
Šentjur,,,,,610.0,MAR,2022,142.0,188,165,115
Šentrupert,,,,,34.0,MAR,2022,10.0,7,14,3
Škocjan,,,,,149.0,MAR,2022,98.0,26,15,10
Škofja Loka,,,,,354.0,MAR,2022,91.0,81,103,79
Škofljica,,,,,269.0,MAR,2022,72.0,67,72,58
Šmarje pri Jelšah,,,,,389.0,MAR,2022,123.0,115,101,50
Šmarješke Toplice,,,,,57.0,MAR,2022,14.0,19,15,9
Šmartno ob Paki,,,,,89.0,MAR,2022,28.0,28,23,10
Šmartno pri Litiji,,,,,115.0,MAR,2022,31.0,35,33,16
Šoštanj,,,,,230.0,MAR,2022,72.0,66,47,45
