Urad za delo,1+2 - OŠ ali manj,"3+4 - nižje, srednje poklicno izobr.","5 - srednje tehniško, strokovno, splošno izobr.","6+7+8 - visokošolsko izobr. prve, druge, tretje stopnje",Skupaj,month,year,"OŠ
ali manj","nižje, srednje poklicno izob.","srednje tehniško, strokovno,
splošno izob.","visokošolsko
izob. prve, druge,
tretje stopnje"
UD Radlje ob Dravi,138.0,200.0,150.0,84.0,572.0,DEC,2019,,,,
UD Ravne na Koroškem,198.0,279.0,215.0,102.0,794.0,DEC,2019,,,,
UD Slovenj Gradec,181.0,226.0,161.0,102.0,670.0,DEC,2019,,,,
UD Velenje,572.0,465.0,455.0,290.0,1782.0,DEC,2019,,,,
,,,,,,DEC,2019,,,,
,,,,,75292.0,DEC,2019,,,,
OS Celje,2840.0,2567.0,2188.0,1303.0,8898.0,JAN,2020,,,,
UD Celje,832.0,770.0,755.0,532.0,2889.0,JAN,2020,,,,
UD Laško,170.0,181.0,164.0,75.0,590.0,JAN,2020,,,,
UD Slovenske Konjice,455.0,385.0,318.0,153.0,1311.0,JAN,2020,,,,
UD Šentjur,256.0,283.0,202.0,138.0,879.0,JAN,2020,,,,
UD Šmarje pri Jelšah,567.0,486.0,321.0,171.0,1545.0,JAN,2020,,,,
UD Žalec,560.0,462.0,428.0,234.0,1684.0,JAN,2020,,,,
OS Koper,1811.0,1385.0,1504.0,828.0,5528.0,JAN,2020,,,,
UD Ilirska Bistrica,125.0,113.0,107.0,50.0,395.0,JAN,2020,,,,
UD Izola,234.0,162.0,147.0,82.0,625.0,JAN,2020,,,,
UD Koper,679.0,530.0,600.0,352.0,2161.0,JAN,2020,,,,
UD Piran,264.0,213.0,263.0,126.0,866.0,JAN,2020,,,,
UD Postojna,303.0,198.0,184.0,92.0,777.0,JAN,2020,,,,
UD Sežana,206.0,169.0,203.0,126.0,704.0,JAN,2020,,,,
OS Kranj,1776.0,1203.0,1435.0,971.0,5385.0,JAN,2020,,,,
UD Jesenice,270.0,209.0,191.0,99.0,769.0,JAN,2020,,,,
UD Kranj,963.0,513.0,678.0,485.0,2639.0,JAN,2020,,,,
UD Radovljica,223.0,191.0,234.0,182.0,830.0,JAN,2020,,,,
UD Škofja Loka,200.0,182.0,221.0,165.0,768.0,JAN,2020,,,,
UD Tržič,120.0,108.0,111.0,40.0,379.0,JAN,2020,,,,
OS Ljubljana,6464.0,4992.0,5814.0,4415.0,21685.0,JAN,2020,,,,
